"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15128","Проверка плейсхолдеров для оплаты рассрочки","","Thu Jun 19 23:26:06 SAMT 2025","passed","Thu Jun 19 23:26:22 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testPlaceholder3"
"","4138","Проверка работоспособности ссылки 'Подробнее о сервисе'","","Thu Jun 19 23:26:57 SAMT 2025","passed","Thu Jun 19 23:27:01 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testLink"
"","12874","Проверка названия блока оплаты","","Thu Jun 19 23:27:01 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testBlockTitle"
"","18950","Проверка формы оплаты","","Thu Jun 19 23:26:38 SAMT 2025","passed","Thu Jun 19 23:26:57 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testForm"
"","1","testCompareEqual()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testCompareEqual"
"","2827","Проверка наличия логотипов","","Thu Jun 19 23:26:35 SAMT 2025","passed","Thu Jun 19 23:26:38 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testLogos"
"","2","restTriangleAreaInvalid()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","restTriangleAreaInvalid"
"","0","testArithmetic1()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testArithmetic1"
"","0","testfactorial1()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testfactorial1"
"","4","testCompareLess()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testCompareLess"
"","13414","Проверка плейсхолдеров для оплаты задолженности","","Thu Jun 19 23:26:22 SAMT 2025","passed","Thu Jun 19 23:26:35 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testPlaceholder4"
"","0","testArithmetic2()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testArithmetic2"
"","0","testFactorial0()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testFactorial0"
"","1","testFactorial20()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testFactorial20"
"","5102","Проверка плейсхолдеров для оплаты домашнего интернета","","Thu Jun 19 23:26:01 SAMT 2025","passed","Thu Jun 19 23:26:06 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testPlaceholder2"
"","0","testTriangleArea1()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testTriangleArea1"
"","2","testFactorialNegative()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testFactorialNegative"
"","14189","Проверка плейсхолдеров для оплаты услуг связи","","Thu Jun 19 23:25:47 SAMT 2025","passed","Thu Jun 19 23:26:01 SAMT 2025","","lesson_10.PaySectionTest","lesson_10.PaySectionTest","testPlaceholder1"
"","2","testCompareGreater()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testCompareGreater"
"","0","testTriangleArea2()","","Thu Jun 19 23:27:14 SAMT 2025","passed","Thu Jun 19 23:27:14 SAMT 2025","","lesson_7_junit_5.ArithmeticTest","lesson_7_junit_5.ArithmeticTest","testTriangleArea2"
